RestaurantID,Cuisine
FaR-Kv-0ZzgcqFW1sCnacw,american
5HthKwqIfsLdS2yIb3k-cA,american
gTCqX_Xw087KP608dZTfjw,american
pb_ryc8FYHpUPV56eV2Eyg,american
9tWsM0Ol6CGqfBWKzwdwyg,american
Cq0_y25K4r60gUP0JeHRDQ,american
_YhIR55QAoVLJQg_p65FgA,american
SbcYZtynualn3Jljt4Mxxg,american
LJTGRkX5yWoqx1jJ7E4zqw,american
_pXppRVEAW6zi8uRjx1ULg,american
PHSsvGDW6Rh2pGWEDTrDew,american
zAheOfFDPnttHjuV0uH_AQ,american
R-biStUvl2zuhIQFk40GsQ,american
huzwtLDeEGDZ6BIsMQF69g,american
sT7PuI8hNOWA5Keor1dexg,american
3axYlGbF2M-rHjz0uhKFcg,american
r-Ugfs11uNxi19_-VHWf5A,american
t6TzNUUY2ez6s-GYOLs4VA,american
iu8nqOMFdUPg201QMkrGJw,american
zK_0aH6P9HhmYmCWx9cBxQ,american
IdEhtaAidvpW62rU8qNC6A,american
wQU3LMmOPNzxL-ptOi_F5w,american
k_kV4CUZ0YHWF604EYXZAg,american
YMHxv6VFriKz1KevVXl0Cw,american
a3O2KzK6rh8VZNq1jhz81Q,american
zGH7ZoOvLfZhuYAAKDbCKA,american
DG3Ze4-Rj7JieKBEryV0EA,american
G1PS0kMwepei5h29ZbRo_A,american
7qtIemPU3LlNix8CVWdhwA,american
JNQd6YR1hCAM1nqCTBwvGw,american
Tzag-LU1b-UVR58BfcCy9Q,american
jve0o4_2_YIOPiVjKvXqTw,american
neHrnNsYPpRZqdXiemV-sg,american
leI3BslJ5I2-IxXyRaRjPw,american
8dkPWx3Upl1H6tLwLiEsPw,american
ta9Y7fcdiGp_DCCiULHudQ,american
YkJkMOSXDprv6gsQ5Grc6A,american
ph-GkrDhM1pBwbs-pfvV1A,american
uYLIo8FCr9Ug5SFORDdsPA,american
6jsGtz0vwEGZ44urQKQkeQ,american
diX-SHOYXgGzEEYMCLxaCw,american
DggqVM54aBZG4XMmUCY2Og,american
eVBVn6bjwl_mMLxN-35_6w,american
rSJAtekGHxeixVpTlOBxyg,american
FB8Wl5040JLMzEZxRfgnrg,american
yy0E-rhiKzN2ASfDhHVsJg,american
vLphuclD-vQCHG97oftAcA,american
f6HpgXns3Fmobjy4nlL7BQ,american
3BsALCViXEKy7mpbbJPwmQ,american
hRZyaQ80R9s9ztEBDJqiuw,american
mqzRBbxys-OCzXK5QCG33Q,american
0vdgqmIt6e0suBu2g-M1UQ,american
IFcGHhG3xflTyISZtMFe2Q,american
4j_4tNy7pzYsEkvGTyRCzA,american
HXqpZ5Sq7eeDoxAeZI3nTw,american
AuPyUM8XQAtSbiSsCT4x_A,american
POkV0nmk7LAhB7-BjRNUFw,american
wSlGpwSIecbqy1KRSO_YVg,american
qOomR3AwClOGpV1HdqOTFg,american
KfHwEsirvgNwqqSSIZ4Kdg,american
iexl39DYyy_76Xq3ExaJkQ,american
XghOzJn16M-nvaKMOdC5og,american
H_4w5VM_DKEwsGs0SCNtpw,american
zi_TJRxi0WzADbbI6Jcz3A,american
RYKGs45OjF-vlb2Ds2Jb_g,american
pfmAcS-g6SiNG0KlLvrqnA,american
x7LSv-mieYJozSaUP0MrwA,american
e_EQojNWskn_hFbKA_UZ-Q,american
L7_MTRZyYp_i-cnH2CU4zQ,american
L3reOLLPez7lnOhyfCpvkg,american
7yJ3fOQp3oj2xuDaUGD3_A,american
BnEfZl0m9JEbd2DF8quplQ,american
dVAI5zh29psdbHp9wGXwVQ,american
teAop2XPjQlhDgjgxMLL0w,american
s4tyQOpJwsBkYXc1mNhP-A,american
vkQSMwAf5yqDw9HfEQYgzw,american
m3UPWf08TA6XbJcfC9QbPQ,american
8UwRTdW4OtSEI2rJ_p1zGg,american
_EBQhV-UQ7NoV66uXYH0dw,american
Au0ln1sQbBSSUuY9kXhv-w,american
2bTQnUWFY-0qxbPZspOgAA,american
YKfj-CUjgb9xQ1kN_bhNLg,american
Q3xTM15H8fRH8wv9PD8weA,american
p7AUVHJWsE9DBzO5yRR6FQ,american
0dFmV60ALH5_gvyYka6yUQ,american
zLNOCv3hmzPNO8pchYdBpw,american
VNee09tB2NVGTe3g1tFylw,american
AlZYxW1hQ3S2sGbtNjo64w,american
-dQexkmhlgbiKvZ94jBmjQ,american
EYH4FiA2phvYg73Jjw1KSA,american
J8UMXWNYrn7_D0KXZN1Hrg,american
PWxky1zhv7gqdhXi8Pk6DA,american
